,minimum_temperature_in_dc,maximum_temperature_in_dc,rainfall_in_mm,evaporation_in_mm,sunshine_in_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_in_kmph,time_of_maximum_wind_gust,9am_temperature_in_dc,9am_relative_humidity_in_pct,9am_cloud_amount_in_oktas,9am_wind_direction,9am_wind_speed_in_kmph,9am_msl_pressure_in_hpa,3pm_temperature_in_dc,3pm_relative_humidity_in_pct,3pm_cloud_amount_in_oktas,3pm_wind_direction,3pm_wind_speed_in_kmph,3pm_msl_pressure_in_hpa,max_demand,price_category,mean_temp
22/03/2021,17.5,24.2,5.6,2.6,1.8,NNE,31,12:51,18.9,94,7,NNE,6,1018.8,21.6,72,7,N,13,1016.1,5561.02,3,20.55
8/01/2021,12.7,24.3,0,9.8,13.1,SSW,31,15:04,18.6,59,1,NE,6,1024.8,23.1,53,1,SSW,11,1022.2,5365.19,2,19.675
25/02/2021,11.3,24.3,0,5.8,8.7,SSW,39,19:08,13.4,72,7,E,4,1012.8,23.4,37,2,W,11,1009.1,5504.37,1,18.1
30/04/2021,9.5,24.4,0,0,10.2,N,30,12:05,12.5,83,1,NNE,13,1027,23.9,32,0,N,15,1024,5887.34,2,17.575
4/04/2021,15.2,24.5,0,8.6,10.1,S,35,14:18,22.9,50,0,NNW,11,1018.5,20,72,1,S,15,1018,5014.06,2,20.65
15/02/2021,14.4,24.6,0,5.6,9.2,SSE,22,07:37,17,73,7,SSE,9,1022,23,54,7,SSW,11,1019.6,5719.51,1,19.75
1/05/2021,11.2,24.6,0,5.4,7.1,N,33,12:48,14.9,63,3,NNE,9,1027.3,24.2,35,7,N,17,1024.4,5261.09,2,18.725
11/03/2021,11.6,24.7,0,5,4.6,SSW,24,15:56,15,86,7,N,9,1018.6,21,69,7,SW,9,1016.2,5626.12,2,18.075
18/03/2021,13.8,24.9,0,5.8,5.1,S,22,16:04,16.8,80,7,NE,4,1025.8,24,59,7,SSW,9,1024,5691.57,2,19.875
22/01/2021,15.8,25,0,9,11.4,S,35,16:47,20.2,52,7,S,11,1009.7,23.3,59,3,SSW,13,1009.9,5954.97,2,21.075
9/02/2021,12,25.2,0,4,12.7,SSW,28,14:00,16.9,71,4,SSE,11,1018.4,23.3,50,1,SSW,13,1014.5,5511.16,2,19.35
6/02/2021,16.9,25.4,1.6,9,9.5,NW,39,11:44,18.6,59,7,N,17,998.5,23.7,45,7,NW,11,999.5,4636.36,1,21.15
28/01/2021,15.4,25.5,0,8,1.1,SE,20,23:06,20.5,58,7,SSE,4,1017.3,24.8,53,8,SE,7,1015.1,5398.66,1,21.55
7/01/2021,14.7,25.7,0,3.6,12.1,SSE,44,13:21,18.6,70,4,SSE,13,1023.9,24.3,46,4,SSE,20,1022,4994.78,1,20.825
27/01/2021,14.3,25.8,0.4,3.6,11.1,ESE,43,19:43,15.5,52,7,SSE,15,1016.5,23.4,37,1,SSE,19,1014.8,5221.53,1,19.75
3/02/2021,13.7,25.9,0,5.4,13.1,SE,33,16:58,16.5,66,5,SSE,11,1016.5,24.1,44,2,SE,7,1011.1,5344.15,1,20.05
20/03/2021,14,26,0,5.4,5.3,E,31,13:37,16.7,90,1, ,1,1027.4,24,49,7,ESE,13,1024.3,4748.83,1,20.175
2/05/2021,13.7,26,0,6.4,3.8,N,39,14:18,17.5,59,7,NNE,7,1023.3,25.3,36,2,N,20,1018.9,5289.07,2,20.625
19/03/2021,14.2,26.1,0,5.2,6.1,ESE,31,19:22,16.1,88,7,NE,2,1027.2,24.3,63,3,SSW,11,1025.2,5467.08,2,20.175
3/01/2021,17,26.2,12.6,4.8,7.1,WSW,33,17:55,18.3,100,8,WSW,4,1007.7,23.5,59,4,SSW,2,1005.2,4503.31,1,21.25
17/03/2021,13.9,26.4,0,2.8,9.9,S,24,13:29,16.2,86,0,NE,4,1025.1,25.4,50,2,SSW,9,1022.7,5765.54,2,20.475
23/01/2021,14.7,26.7,0,7.4,11.6,S,30,14:42,18.3,72,2, ,1,1013.1,22.7,63,0,SW,13,1010.9,6220.45,2,20.6
28/02/2021,10.6,26.7,0,2.4,9.2,SW,26,22:57,14,77,0,NNE,7,1013.4,26.1,38,5,SW,9,1010,5197.76,1,19.35
13/01/2021,14.5,27,0,6.2,7.5,W,41,21:58,17.9,66,3,ESE,4,1013.5,25.7,52,7,WSW,6,1008.4,6522.49,3,21.275
13/03/2021,17.7,27.2,0,9.6,0.3,N,41,06:36,24.5,52,7,N,17,1007.4,19,87,8,SW,6,1010.4,4898.9,1,22.1
9/01/2021,14.2,27.9,0,7,12.9,NNW,30,09:46,19.7,69,1,NNE,11,1022,24.4,59,2,SSW,11,1019.3,5863.37,2,21.55
7/03/2021,11.3,28.5,0,6,7.9,N,26,12:20,13.7,82,6,NE,7,1012,27.2,29,6,S,7,1008.2,5044.14,2,20.175
17/02/2021,16.6,28.8,0,7.4,11.9,SSW,26,14:37,20.1,73,4,NE,7,1021.7,27.1,52,1,SW,7,1020.3,7230.71,2,23.15
2/01/2021,18.4,29,0,9.4,1.3,NNW,30,08:22,23.3,52,7,NNW,17,1013.3,28.7,38,7,SW,4,1008.5,4964.35,1,24.85
8/04/2021,15.4,29.3,0,4.6,4.9,NNW,43,14:36,20.5,73,1,N,9,1011,28.9,25,7,NNW,17,1005,5978.02,2,23.525
5/02/2021,17.3,29.8,0.4,7.8,8.9,NNW,52,10:27,24.1,62,7,NNE,19,1000.5,25.9,63,7,NNE,24,997.5,5852.98,1,24.275
1/01/2021,15.6,29.9,0,2.8,9.3,NNE,31,13:14,19.2,77,6,N,2,1018.8,28.1,43,5,E,13,1015.3,5019.64,1,23.2
1/04/2021,12.4,29.9,0,4.4,10.8,NNW,20,11:49,14.4,86,1,NE,9,1024.3,28.7,30,3,SE,7,1021.6,5807.02,2,21.35
12/03/2021,14.9,30.3,0,4,10.1,N,26,12:35,17.9,94,1,N,7,1016.7,29,36,7,NNE,9,1012.6,6115.65,3,23.025
4/02/2021,13.5,30.6,0,6.6,4.1,NNW,43,12:58,17.3,72,7,NE,7,1005.5,29.2,32,7,N,28,1002.7,6015.71,1,22.65
2/04/2021,13.5,30.6,0,6.6,10.8,N,15,06:00,15.1,75,2,NNE,9,1026.2,29.3,28,0,SSW,9,1023.1,5439.82,2,22.125
16/02/2021,15.9,31.3,0,6.2,8.3,N,33,09:27,20.2,67,7,NE,9,1021.6,30.2,32,5,ENE,7,1019.2,6816.18,2,24.4
10/02/2021,13.8,31.5,0,7.4,11.6,NNW,30,11:22,17.2,77,1,NNE,7,1015.1,28.3,43,2,SSW,15,1010.5,7009.15,2,22.7
21/01/2021,12.7,31.6,0,7.6,12.5,SSW,22,11:59,16.8,73,7,N,11,1016.3,29.6,37,5,SW,7,1010.3,7046.57,2,22.675
3/04/2021,15.1,31.6,0,4.4,10.9,N,37,11:45,21.9,55,0,NNW,17,1022.3,30.5,32,0,N,19,1018.3,5723.27,2,24.775
18/02/2021,18.1,31.8,0,11.4,12.4,N,46,08:26,22.9,44,0,N,26,1022.6,30,32,1,NNE,9,1019.2,7508.61,2,25.7
19/02/2021,18.2,32.6,0,8,12.4,N,43,09:32,24.4,44,1,N,15,1017.3,31.2,33,3,N,22,1013.4,7804.22,3,26.6
11/02/2021,17.2,32.8,0,8,5.5,N,46,12:20,24.3,58,6,NNE,9,1008.7,31.8,31,7,N,22,1004.5,7153.92,2,26.525
10/01/2021,16.9,33.5,0,8,9.6,E,24,19:16,19.3,85,8,NNE,6,1020.4,26.7,60,1,SW,11,1015.9,6859.02,2,24.1
11/01/2021,19.2,36.7,0,10.8,9.8,N,52,14:55,29.4,32,2,NNE,15,1012.3,35.2,21,7,N,20,1008.5,8182.55,2,30.125
24/01/2021,16.1,37.8,0,8.8,8.1,SSW,17,14:58,22.5,67,1,ENE,6,1010.9,33.6,37,7,SSW,6,1007,8050.72,3,27.5
25/01/2021,22.2,39.2,0,13.8,3.5,W,54,15:37,30.9,25,5,N,13,1001.3,26.6,47,7,WSW,11,999.6,8196.83,3,29.725
