,minimum_temperature_in_dc,maximum_temperature_in_dc,rainfall_in_mm,evaporation_in_mm,sunshine_in_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_in_kmph,time_of_maximum_wind_gust,9am_temperature_in_dc,9am_relative_humidity_in_pct,9am_cloud_amount_in_oktas,9am_wind_direction,9am_wind_speed_in_kmph,9am_msl_pressure_in_hpa,3pm_temperature_in_dc,3pm_relative_humidity_in_pct,3pm_cloud_amount_in_oktas,3pm_wind_direction,3pm_wind_speed_in_kmph,3pm_msl_pressure_in_hpa,max_demand,price_category,mean_temp
3/07/2021,6.6,10.6,6.6,2.8,4.5,N,43,13:45,7.9,75,5,N,19,1016.3,9.8,63,5,NNW,22,1014.9,6972.85,2,8.725
23/07/2021,7.8,11.3,0,0.6,1.5,N,31,01:36,8.2,80,7,N,7,1006.8,10.9,64,7,N,13,1003.6,7329.83,4,9.55
20/07/2021,9.9,11.4,0.6,2.2,0.3,SW,54,17:18,10.8,80,7,N,13,1005.2,8.6,86,8,SSW,13,1007.4,7556.79,3,10.175
22/07/2021,5.1,11.8,0.6,2.6,0.1,NNW,46,14:11,7.8,88,7,N,17,1015.8,10.5,66,7,N,22,1010.7,7536.62,4,8.8
9/07/2021,2,12,0,1,9,NNE,15,10:29,4.6,92,4,NE,4,1017.9,11,67,2,SSW,7,1015.7,7536.11,4,7.4
15/05/2021,7.3,12.9,7.4,2.4,7.5,SSW,54,04:25,8.6,72,4,W,13,1018.1,11.9,59,6,SSW,11,1020.5,6319.27,3,10.175
5/06/2021,3.8,12.9,0,1.4,3.5,N,52,14:43,6.7,74,7,N,11,1021.4,12,57,7,N,26,1017.6,6484.85,3,8.85
17/06/2021,7.8,12.9,0.8,1,2.6,N,20,07:03,9.4,83,7,N,9,1010.5,12.4,70,7,N,4,1008.8,7286.57,4,10.625
26/08/2021,5.5,12.9,1.2,2.4,1,SE,31,12:54,9.2,82,7, ,1,1022.7,12.2,55,7,SSE,13,1020.3,7126.76,4,9.95
19/07/2021,9.1,13,0,1.8,2.9,NNW,31,14:00,10.4,72,7,N,13,1016.2,12.2,72,7,N,11,1012.5,7130.82,4,11.175
25/07/2021,5.8,13,0.8,3.6,7.2,NNW,48,14:35,8.1,60,1,NW,19,1003.6,12.5,47,7,NW,13,1004.8,6817.65,3,9.85
29/05/2021,10.4,13.1,0,2,4.1,SSE,26,14:41,11.3,58,7,SSE,6,1034.2,12.7,55,5,S,13,1032.3,6441.38,4,11.875
4/07/2021,6.5,13.1,0.2,1.2,3.5,NNW,46,14:32,7.7,79,3,N,20,1016.4,12.2,67,7,NW,17,1015.3,6849.08,3,9.875
5/07/2021,4.6,13.1,0.4,1.6,1.9,SSW,22,12:47,6.8,82,7,NE,9,1022.7,12.7,66,7,SW,7,1021.5,7629.77,4,9.3
7/07/2021,6.8,13.1,0,0.8,2.2,,33,,7.8,74,6,NE,9,1026,12,49,7,NW,6,1023.8,7349.58,4,9.925
24/08/2021,6.4,13.1,10.4,4,6.2,S,39,09:38,10.8,53,7,SSE,17,1021.5,11.7,55,6,S,17,1021.6,6717.65,3,10.5
8/06/2021,9.3,13.2,3,4.8,2.3,N,48,00:39,9.3,89,7,NNE,9,1005,11.1,72,7,W,11,1004.8,7228.52,4,10.725
18/06/2021,6.1,13.2,1.6,1.8,0.1,SSW,26,13:15,9.4,100,7,S,2,1012.6,12.5,98,7,SSW,9,1014.4,6838.24,3,10.3
25/06/2021,10.6,13.2,0.6,2.4,0.3,N,37,00:05,11,88,7,N,13,1010.3,12.6,94,7, ,1,1011.1,6855.19,3,11.85
6/07/2021,6.7,13.2,0,1,0.6,NW,20,03:16,8.7,74,7,N,9,1023.4,12.9,55,7,NNW,11,1022.2,7281.69,4,10.375
26/06/2021,10,13.4,5.6,0.2,4.6,NNW,28,22:26,10.5,79,3,W,9,1019.9,12.4,56,3,WSW,9,1020.1,6404.33,3,11.575
4/06/2021,10,13.6,2,1.2,2,S,37,15:23,10.9,81,3,SW,7,1017,11.9,66,7,W,7,1018.5,6934.53,4,11.6
21/07/2021,6.5,13.6,10.8,1.6,2.8,WSW,31,00:37,8.9,80,7,W,6,1020.5,12,69,6,WSW,7,1019,7391.37,4,10.25
27/08/2021,4.6,13.6,0,1.2,3.8,SSW,15,12:18,7.7,88,7, ,1,1020,12.8,65,7,SSE,7,1017.4,6769.89,4,9.675
17/07/2021,7.6,13.7,0.2,2.8,0.8,NNW,33,07:56,8.7,67,7,N,13,992.8,13.2,66,7,W,11,996.7,6486.18,2,10.8
28/05/2021,11,13.8,0.4,0.4,0.5,S,39,07:07,12.2,60,7,S,15,1031.8,12.7,59,7,S,11,1032.4,6887.79,4,12.425
14/07/2021,9.8,13.9,2.2,3,0.5,N,44,05:56,10.3,84,7,N,13,1005,13.4,73,7,N,24,1000.8,7175.95,4,11.85
